Time,x,y,z
4.765,-2.794896712507379e-11,-2.7645481828277814e-11,5.6624051323703445e-11
4.766,2.8072866011148146e-11,2.7521659497197128e-11,5.705791268720652e-11
4.767,-2.7948967230584528e-11,-2.764548179505638e-11,5.6624054876417125e-11
4.768,2.8072866094890437e-11,2.7521659753775888e-11,5.705791091084968e-11
4.769,-2.79489673274945e-11,-2.7645481918003853e-11,5.662405136533681e-11
4.77,2.807286617907659e-11,2.752165976657333e-11,5.7057909176126207e-11
4.771,-2.7948967345540635e-11,-2.7645481894622404e-11,5.6624051323703445e-11
4.772,2.807286624127933e-11,2.7521659871991733e-11,5.7057907483036095e-11
4.773,-2.79489673288868e-11,-2.7645481850504985e-11,5.662405136533681e-11
4.774,2.8072866080406867e-11,2.7521659700859154e-11,5.7057909176126207e-11
4.775,-2.794896736871242e-11,-2.7645481788640353e-11,5.662405136533681e-11
4.776,2.8072866074494076e-11,2.7521659566551466e-11,5.7057910952483046e-11
4.777,-2.7948967196439804e-11,-2.764548172858138e-11,5.662405483478376e-11
4.7780000000000005,2.8072866098207742e-11,2.75216596289624e-11,5.7057909176126207e-11
4.779,-2.7948967424629338e-11,-2.764548182569846e-11,5.66240566111406e-11
4.78,2.8072866061119962e-11,2.7521659676385645e-11,5.705790739976937e-11
4.781,-2.794896733621805e-11,-2.7645481727044633e-11,5.662405483478376e-11
4.782,2.8072866198253738e-11,2.7521659740528048e-11,5.7057905706679255e-11
4.783,-2.7948967311195424e-11,-2.7645481829808435e-11,5.6624053100060285e-11
4.784,2.8072866026800548e-11,2.7521659681186266e-11,5.705790739976937e-11
4.785,-2.794896714909881e-11,-2.764548169390434e-11,5.662405483478376e-11
4.786,2.8072866117144284e-11,2.7521659590617743e-11,5.7057910952483046e-11
4.787,-2.794896713543358e-11,-2.7645481724962723e-11,5.662405483478376e-11
4.788,2.807286605902037e-11,2.7521659617069247e-11,5.705791091084968e-11
4.791,-2.79489672111714e-11,-2.7645481801131608e-11,5.6624053100060285e-11
4.791,2.8072866107932465e-11,2.7521659640633478e-11,5.7057909176126207e-11
4.792,-2.7948967196221842e-11,-2.7645481817507587e-11,5.662405483478376e-11
4.792,2.8072866080468233e-11,2.7521659609604976e-11,5.705790913449284e-11
4.793,-2.794896732016519e-11,-2.7645481890049595e-11,5.6624054876417125e-11
4.7940000000000005,2.8072866157895492e-11,2.752165965878301e-11,5.705790739976937e-11
4.795,-2.7948967296698386e-11,-2.7645481830612092e-11,5.662405136533681e-11
4.796,2.807286600363166e-11,2.7521659585243396e-11,5.7057909176126207e-11
4.797,-2.794896712727758e-11,-2.7645481687134823e-11,5.66240566111406e-11
4.798,2.8072866003472504e-11,2.7521659676607614e-11,5.7057909176126207e-11
4.799,-2.7948967165721005e-11,-2.7645481755454798e-11,5.662405483478376e-11
4.8,2.8072866068474528e-11,2.7521659662288523e-11,5.705790921775957e-11
4.801,-2.7948967268668595e-11,-2.7645481782063182e-11,5.6624053100060285e-11
4.802,2.8072866179604253e-11,2.7521659573692542e-11,5.7057909176126207e-11
4.803,-2.7948967235902523e-11,-2.7645481710214817e-11,5.662405483478376e-11
4.804,2.8072866201317253e-11,2.752165968141537e-11,5.7057909176126207e-11
4.806,-2.7948967275100932e-11,-2.7645481718111005e-11,5.662405305842692e-11
4.806,2.8072866062356054e-11,2.7521659628754492e-11,5.705790739976937e-11
4.806,-2.7948967302456855e-11,-2.7645481764129596e-11,5.6624053100060285e-11
4.806,2.8072866087251502e-11,2.7521659683372737e-11,5.705790739976937e-11
4.806,-2.7948967282205923e-11,-2.7645481815207456e-11,5.662405136533681e-11
4.806,2.80728661057173e-11,2.7521659620841113e-11,5.705791091084968e-11
4.806,-2.7948967267891433e-11,-2.7645481885880165e-11,5.6624054876417125e-11
4.812,2.807286614815588e-11,2.7521659806751843e-11,5.705790744140273e-11
4.812,-2.7948967245811372e-11,-2.764548178845977e-11,5.662405483478376e-11
4.813,2.807286621668614e-11,2.75216595334287e-11,5.705790739976937e-11
4.815,-2.7948967306610827e-11,-2.764548176612566e-11,5.662405483478376e-11
4.816,2.8072866064770025e-11,2.7521659855280746e-11,5.7057905706679255e-11
4.817,-2.7948967121869963e-11,-2.764548199483407e-11,5.6624051323703445e-11
4.818,2.8072866073156163e-11,2.752165973280487e-11,5.705790913449284e-11
4.819,-2.794896744065074e-11,-2.7645481972948266e-11,5.662405136533681e-11
4.821,2.8072866174479197e-11,2.7521659761289557e-11,5.705790739976937e-11
4.821,-2.7948967333194447e-11,-2.7645481865261577e-11,5.662405314169365e-11
4.822,2.8072866141476267e-11,2.752165968753007e-11,5.7057909176126207e-11
4.823,-2.7948967351885963e-11,-2.7645481781848425e-11,5.662405136533681e-11
4.824,2.8072866142625014e-11,2.7521659633562014e-11,5.705790913449284e-11
4.825,-2.794896725141932e-11,-2.7645481790617186e-11,5.662405314169365e-11
4.8260000000000005,2.807286611110222e-11,2.7521659619732252e-11,5.705790913449284e-11
4.827,-2.794896723750578e-11,-2.7645481822774582e-11,5.6624053100060285e-11
4.828,2.8072866129496986e-11,2.752165972325171e-11,5.7057909176126207e-11
4.829,-2.7948967247913677e-11,-2.764548192909239e-11,5.662405136533681e-11
4.83,2.8072866051721768e-11,2.752165972082383e-11,5.7057909176126207e-11
4.831,-2.7948967363442297e-11,-2.764548187808988e-11,5.6624051323703445e-11
4.832,2.8072866252936942e-11,2.752165986717126e-11,5.705790566504589e-11
4.833,-2.7948967332740506e-11,-2.764548205459306e-11,5.662405314169365e-11
4.834,2.8072866160400118e-11,2.7521659773364326e-11,5.705790744140273e-11
4.835,-2.7948967378409742e-11,-2.7645481817931103e-11,5.662405136533681e-11
4.836,2.8072866106195127e-11,2.7521659672040078e-11,5.7057909176126207e-11
4.837,-2.794896726184195e-11,-2.7645481813443312e-11,5.6624053100060285e-11
4.838,2.807286609060965e-11,2.752165958780719e-11,5.705790913449284e-11
4.84,-2.7948967281509437e-11,-2.764548168719588e-11,5.6624053100060285e-11
4.84,2.8072866109454038e-11,2.752165964845416e-11,5.705790913449284e-11
4.841,-2.7948967257636074e-11,-2.764548180270196e-11,5.6624053100060285e-11
4.8420000000000005,2.8072866020177106e-11,2.7521659673627877e-11,5.7057909176126207e-11
4.843,-2.7948967166936417e-11,-2.7645481753655783e-11,5.662405305842692e-11
4.844,2.8072866046176815e-11,2.752165968088667e-11,5.705790913449284e-11
4.845,-2.794896719727598e-11,-2.764548191938385e-11,5.662405314169365e-11
4.846,2.807286608462505e-11,2.7521659683689676e-11,5.705790921775957e-11
4.846,-2.7948967268256814e-11,-2.764548175746955e-11,5.6624053100060285e-11
4.848,2.8072866076089966e-11,2.7521659757541007e-11,5.705790739976937e-11
4.849,-2.7948967273545083e-11,-2.7645481944145035e-11,5.6624053100060285e-11
4.85,2.8072866080000075e-11,2.752165970153801e-11,5.705790744140273e-11
4.852,-2.7948967085248248e-11,-2.7645481708723617e-11,5.66240547931504e-11
4.852,2.8072866117632062e-11,2.7521659608400136e-11,5.705791091084968e-11
4.852,-2.7948967202422362e-11,-2.7645481843223727e-11,5.6624053100060285e-11
4.854,2.8072866116538917e-11,2.752165959590123e-11,5.705791091084968e-11
4.855,-2.7948967317975616e-11,-2.76454818039966e-11,5.662405305842692e-11
4.856,2.8072866154212238e-11,2.7521659690795416e-11,5.705790566504589e-11
4.857,-2.7948967303478113e-11,-2.7645481678581672e-11,5.662405305842692e-11
4.857,2.8072866102333047e-11,2.7521659617920416e-11,5.7057910952483046e-11
4.859,-2.7948967376690913e-11,-2.7645481855786455e-11,5.6624053100060285e-11
4.86,2.807286607621288e-11,2.7521659745585016e-11,5.705790739976937e-11
4.861,-2.794896718902594e-11,-2.7645481832432872e-11,5.662405305842692e-11
4.862,2.8072866082491853e-11,2.752165964920418e-11,5.705790921775957e-11
4.863,-2.794896720164034e-11,-2.764548176546963e-11,5.662405483478376e-11
4.865,2.8072866276800896e-11,2.7521659754447895e-11,5.705790739976937e-11
4.866,-2.7948967342510155e-11,-2.764548189235394e-11,5.662405136533681e-11
4.866,2.6931454597076857e-11,2.7356644017461264e-11,5.6692467082816653e-11
4.867,-1.647452119899374e-12,-1.7933320201310532e-11,5.501238541150087e-09
4.868,-3.3700737105589162e-12,3.350767606707705e-12,1.9582626353954143e-12
4.869,-7.769540027852375e-12,-7.741467538552931e-12,-3.3206466881040427e-12
4.869,8.820052146370307e-12,1.0346179858073268e-11,4.941287380661367e-13
4.869,-8.962480575660984e-12,-1.0737956482564221e-11,3.4542481792468324e-12
