Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,torques.x,torques.y,torques.z
8.485,51,8,485000000,,8.841791995235459e-05,-0.00015441335513186277,0.027855439693439683
8.514,52,8,514000000,,-0.00042195497253426893,-0.00044310580001755996,0.028405275951835396
8.518,53,8,514000000,,7.692349188304335e-05,-0.0005202107951231718,0.02877232854950904
8.518,54,8,518000000,,8.348201910199707e-05,-0.0004059363506662483,0.029082830694377323
8.518,55,8,518000000,,9.709197458712847e-05,0.0003229462430471595,0.030431733562850047
8.526,56,8,526000000,,9.525051171805816e-05,0.0003234879882203728,0.031108090209280046
8.533,57,8,526000000,,0.0006371969947128088,-0.0004970171326836409,0.03180463481488567
8.544,58,8,543000000,,0.0002047581970083603,-0.000477012509111221,0.032409008998284985
8.552,59,8,548000000,,0.00034336194220004144,-0.0009060818424243556,0.03277070307087068
8.557,60,8,557000000,,0.00010430294120276673,-0.0005001536139420961,0.033266018871236175
8.569,61,8,567000000,,-0.00030499470053083023,-0.0006204139369220723,0.03382959903610791
8.569,62,8,569000000,,0.0004786183675266764,-0.0007294730377629332,0.03429182634949078
8.574,63,8,574000000,,0.00071995050682753,-0.0006031587728462407,0.034492657812868345
8.576,64,8,576000000,,-0.000262708306038,-0.0009760880831023623,0.03511563305687416
8.583,65,8,576000000,,0.0009016967444244647,-0.0012273793386229934,0.034906242258235
8.596,66,8,592000000,,0.000621903570752517,0.000312531377088267,0.035698211088501505
8.596,67,8,594000000,,0.00043694892046559664,3.7302535258530535e-05,0.03554126028168489
8.608,68,8,608000000,,0.0005202778664802128,-0.0008461969564925671,0.03527982816822956
8.615,69,8,615000000,,0.0004934472900306914,-0.0008854301573618307,0.03600150572594005
8.629,70,8,629000000,,0.0006695508602651237,-0.0006819964337091796,0.03610110892066591
8.659,71,8,657000000,,0.000357341446619612,-0.0013726920141649026,0.03499107381058082
8.666,72,8,665000000,,0.0011031151863187978,-0.0007716669783853983,0.030732545517875465
8.67,73,8,669000000,,-0.0004565170457679776,-0.00035780912507310547,0.030754376375532973
8.712,74,8,712000000,,0.00015518984810059726,0.00018880770808244287,0.028934755747063518
8.718,75,8,718000000,,-0.0011180854636291268,-0.003814046566717454,0.02329685727275065
8.728,76,8,728000000,,0.0006540486291164772,0.002245259655027434,0.02271439306501102
8.733,77,8,731000000,,-0.0027569292366550063,0.00038758560248060774,0.023695368827870503
8.733,78,8,734000000,,-0.002725337334982012,0.00033185456451625424,0.024444765067698517
8.739,79,8,737000000,,-0.0026472073134975686,0.00026904703980243377,0.024538760799273456
8.739,80,8,739000000,,-0.002508180480727309,0.0004089277306139986,0.024671655047362982
8.743,81,8,743000000,,-0.0016646984805806673,-0.004095246316117001,0.027116655431002196
8.751,82,8,749000000,,-0.0015658142099388814,-0.003997121176262606,0.02747773685422382
8.759,83,8,758000000,,0.0002716587184417344,-0.002591643780457806,0.026348523632167258
8.772,84,8,771000000,,0.0015668365521621227,0.0033959589460137874,0.025729634834974962
8.794,85,8,794000000,,-0.001043819898606662,0.0019108275184395785,0.02750929530086959
8.803,86,8,802000000,,0.00023030179511495966,-0.0019249239785483388,0.02127231049646087
8.813,87,8,813000000,,0.0002553142976492055,-0.002092480291050314,0.01903735222948856
8.822,88,8,820000000,,-0.00011537885378623764,-0.0012675002860343283,0.016424914188355226
8.835,89,8,835000000,,0.0002964675279865571,-0.0014053364130583927,0.01336468375395451
8.84,90,8,837000000,,0.00035003452972751754,-0.0014106814477144302,0.01277782984392648
