Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,position_controller_output.thrust.num,position_controller_output.orientation_set_point.w,position_controller_output.orientation_set_point.x,position_controller_output.orientation_set_point.y,position_controller_output.orientation_set_point.z,position_controller_output.euler_set_point.phi,position_controller_output.euler_set_point.theta,position_controller_output.euler_set_point.psi
8.454,53,8,453000000,,10.16573668267094,0.9999827712011655,2.4165627650263546e-05,-0.00018426190486209342,0.005867091648354739,4.616826280097047e-05,-0.0003688010327662946,0.011734242307437118
8.462,54,8,462000000,,10.169887699289172,0.9999814501502409,2.4981597263459444e-05,-0.0001909941067643581,0.006087877511282628,4.763677376133514e-05,-0.00038228530682442443,0.012175821354433222
8.474,55,8,473000000,,10.17415191470933,0.999980056283935,2.5808225802777512e-05,-0.00019783011391088782,0.006312466361052402,4.911783417372519e-05,-0.0003959781743491155,0.012625007094841567
8.485,56,8,485000000,,10.178532010328267,0.9999785871301595,2.6608290577394676e-05,-0.0002048031391424904,0.006540843129377928,5.053627549195105e-05,-0.0004099456002305348,0.013081769459132466
8.492,57,8,492000000,,10.183027822128237,0.999977040206097,2.7438487249913804e-05,-0.00021184148312130535,0.00677299276312089,5.200611757074388e-05,-0.0004240449326283847,0.013546078377776242
8.503,58,8,503000000,,10.18764236655889,0.9999754129828194,2.8296141713433687e-05,-0.00021896843686326518,0.007008900198432206,5.352144131726513e-05,-0.00043832276986722785,0.014017903781243204
8.512,59,8,512000000,,10.192376722746788,0.9999737028983763,2.9140007288067833e-05,-0.00022623046099260063,0.007248550361844548,5.499880186854378e-05,-0.0004528714846751961,0.014497215600003673
8.526,60,8,526000000,,10.197230684054112,0.9999719073724255,3.000837874640049e-05,-0.00023361801809224442,0.007491928194524672,5.651457884184692e-05,-0.0004676725685821785,0.014983983764527958
8.533,61,8,533000000,,10.202207853168925,0.9999700238064387,3.088271228341218e-05,-0.00024109244001560193,0.007739018622791379,5.803194210014119e-05,-0.0004826484484736625,0.015478178205286384
8.544,62,8,542000000,,10.207309366319327,0.9999680495711584,3.178512329690007e-05,-0.0002486309561806122,0.007989806581311173,5.959519641504017e-05,-0.0004977539591583258,0.01597976885274926
8.552,63,8,552000000,,10.212534709116673,0.9999659819880558,3.270170930021797e-05,-0.0002563085172500809,0.008244276997130501,6.11750449724954e-05,-0.0005131388227064817,0.01648872563738691
8.566,64,8,562000000,,10.217887473265305,0.9999638183826023,3.361294303539352e-05,-0.00026408063680042536,0.008502414790715321,6.273281631420828e-05,-0.0005287137708723924,0.017005018489669628
8.574,65,8,574000000,,10.223367247162491,0.9999615560316383,3.452977792295385e-05,-0.0002719910104591784,0.008764204890877677,6.428934061111513e-05,-0.0005445663871032866,0.01752861734006776
8.583,66,8,583000000,,10.228977866866492,0.9999591922281073,3.550013195701885e-05,-0.00027992859953836316,0.009029632231205944,6.594207234688037e-05,-0.0005604754881672691,0.01805949211905159
8.592,67,8,592000000,,10.23471921809273,0.999956724187911,3.647891789114635e-05,-0.00028799108737239136,0.009298681723989927,6.759881484113837e-05,-0.0005766356922986982,0.01859761275709146
